Listing ID,Make,Model,Serial No.,Cylinders,V / Inline,Power,RPM,Price,,Condition,Application,Cooling,Lead Time,Country,State,Contact,Phone 1,Phone 2,Cell Phone,Fax,Email,Website,Address,Last Used In?,Weight (kg),Dimensions
85856,Caterpillar,3306DITA,63Z02316,6,Inline,0 Kw / 0 HP,@ 0 RPM,5795,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85857,Caterpillar,C-12,2KS,6,Inline,0 Kw / 0 HP,@ 0 RPM,9995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85858,Caterpillar,3116,2BK. 9GK.7AG. 9YN,6,Inline,0 Kw / 0 HP,@ 0 RPM,3795,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85859,Mercedes,OM460,4.61E+13,6,Inline,0 Kw / 0 HP,@ 0 RPM,9995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85862,International,6,TBD,6,Inline,0 Kw / 0 HP,@ 0 RPM,5995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85863,Caterpillar,C-9,TBD,6,Inline,0 Kw / 0 HP,@ 0 RPM,10995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85864,Volvo,VED12,TBD,6,Inline,0 Kw / 0 HP,@ 0 RPM,7995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85865,General Motors,6.6 DURAMAX,TBD,6,Inline,0 Kw / 0 HP,@ 0 RPM,5995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85866,Caterpillar,C-15,6NZ,6,Inline,0 Kw / 0 HP,@ 0 RPM,10995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
85867,International,DT 466E,TBD,6,Inline,0 Kw / 0 HP,@ 0 RPM,7995,,Runner ,On-Highway,Water,In Stock,United States,IL,Howard Gossage,312-368-7997,888-457-7847,,312-368-9419,dieselenginetrader@dieselsales.com,www.dieselsales.com,55 W Wacker Drive. Chicago. 60601,,,
